feature,importance,suggested_action
Churn Value,4.370574464667549,Retention call with tailored offer.
Churn Score,1.2066829087337527,Retention call with tailored offer.
Churn Reason_Attitude of support person,0.5838961502737051,Retention call with tailored offer.
Tenure Months,0.2925324175374256,Retention call with tailored offer.
Monthly Charges,0.15900648811832205,Retention call with tailored offer.
Dependents_Yes,0.13131450292504684,Retention call with tailored offer.
Paperless Billing_No,0.10419590606970935,Retention call with tailored offer.
Internet Service_DSL,0.09815549347025652,Retention call with tailored offer.
Contract_Two year,0.09114993638871641,Promote longer contract discounts with perks.
Total Charges,0.08852265876498792,Retention call with tailored offer.
Partner_Yes,0.0773475600344111,Retention call with tailored offer.
Gender_Male,0.06971905626224262,Retention call with tailored offer.
